Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2
20001,IN-2026-000001,01-01-2025,03-01-2025,Standard Class,CUST-297,Customer 328,Corporate,India,Pune,Telangana,South,PROD-364,Office Supplies,Accessories,Product 763,1504.09,10,-1399.07,nan,Online,,
20002,IN-2026-000002,02-01-2025,04-01-2025,Same Day,CUST-51,Customer 780,Corporate,India,Mumbai,Karnataka,Central,PROD-556,Furniture,Tables,Product 419,11538.45,12,358.51,nan,Online,,
20003,IN-2026-000003,03-01-2025,05-01-2025,First Class,CUST-941,Customer 994,Home Office,India,Hyderabad,Delhi,North,PROD-770,Office Supplies,Phones,Product 792,20059.86,18,5432.43,nan,UPI,,
20004,IN-2026-000004,04-01-2025,06-01-2025,Second Class,CUST-1024,Customer 392,Corporate,India,Chennai,Delhi,North,PROD-39,Office Supplies,Phones,Product 332,14889.19,3,1545.43,Yes,Online,,
20005,IN-2026-000005,05-01-2025,07-01-2025,Second Class,CUST-1159,Customer 1150,Consumer,India,Mumbai,Maharashtra,South,PROD-88,Furniture,Chairs,Product 666,23037.3,17,6455.23,nan,Cards,,
20006,IN-2026-000006,06-01-2025,08-01-2025,Same Day,CUST-1425,Customer 958,Corporate,India,Chennai,Karnataka,East,PROD-736,Furniture,Tables,Product 265,17983.71,11,7440.68,nan,Cards,,
20007,IN-2026-000007,07-01-2025,09-01-2025,Standard Class,CUST-746,Customer 250,Corporate,India,Delhi,West Bengal,Central,PROD-454,Furniture,Tables,Product 355,19496.52,15,-2170.38,nan,Online,,
20008,IN-2026-000008,08-01-2025,10-01-2025,First Class,CUST-1243,Customer 1408,Home Office,India,Hyderabad,Delhi,West,PROD-494,Office Supplies,Phones,Product 278,11595.79,15,4819.05,nan,COD,,
20009,IN-2026-000009,09-01-2025,11-01-2025,Standard Class,CUST-1074,Customer 66,Corporate,India,Bengaluru,Tamil Nadu,West,PROD-273,Technology,Storage,Product 438,4542.87,12,-2062.08,nan,Cards,,
20010,IN-2026-000010,10-01-2025,12-01-2025,Standard Class,CUST-416,Customer 980,Corporate,India,Bengaluru,Karnataka,Central,PROD-661,Technology,Accessories,Product 179,22826.58,9,-2210.99,nan,Online,,
20011,IN-2026-000011,11-01-2025,13-01-2025,First Class,CUST-1267,Customer 659,Home Office,India,Mumbai,Delhi,North,PROD-517,Technology,Tables,Product 403,16565.11,16,33.46,nan,Cards,,
20012,IN-2026-000012,12-01-2025,14-01-2025,Same Day,CUST-80,Customer 981,Corporate,India,Bengaluru,Tamil Nadu,Central,PROD-206,Technology,Phones,Product 672,22759.5,10,-1882.37,nan,COD,,
20013,IN-2026-000013,13-01-2025,15-01-2025,First Class,CUST-898,Customer 1161,Home Office,India,Bengaluru,Telangana,South,PROD-519,Technology,Storage,Product 125,15533.68,19,4292.69,nan,UPI,,
20014,IN-2026-000014,14-01-2025,16-01-2025,Same Day,CUST-1410,Customer 1031,Home Office,India,Mumbai,West Bengal,South,PROD-4,Furniture,Phones,Product 634,11498.4,13,4877.32,nan,Online,,
20015,IN-2026-000015,15-01-2025,17-01-2025,First Class,CUST-988,Customer 976,Home Office,India,Kolkata,Tamil Nadu,Central,PROD-193,Technology,Tables,Product 683,3584.79,13,4031.91,nan,Online,,
20016,IN-2026-000016,16-01-2025,18-01-2025,Same Day,CUST-1405,Customer 1261,Home Office,India,Mumbai,Maharashtra,East,PROD-163,Furniture,Binders,Product 28,10093.19,12,3328.93,nan,Online,,
20017,IN-2026-000017,17-01-2025,19-01-2025,First Class,CUST-85,Customer 1053,Corporate,India,Mumbai,West Bengal,West,PROD-628,Office Supplies,Tables,Product 540,15039.45,5,5593.63,nan,UPI,,
20018,IN-2026-000018,18-01-2025,20-01-2025,Standard Class,CUST-799,Customer 1220,Consumer,India,Chennai,Maharashtra,South,PROD-588,Furniture,Tables,Product 388,23286.42,15,5498.36,nan,COD,,
20019,IN-2026-000019,19-01-2025,21-01-2025,Same Day,CUST-1171,Customer 604,Corporate,India,Bengaluru,Telangana,West,PROD-73,Furniture,Tables,Product 510,20775.36,5,6572.82,nan,Cards,,
20020,IN-2026-000020,20-01-2025,22-01-2025,Second Class,CUST-963,Customer 305,Consumer,India,Chennai,West Bengal,East,PROD-725,Technology,Binders,Product 236,12950.26,12,4625.15,nan,COD,,
20021,IN-2026-000021,21-01-2025,23-01-2025,First Class,CUST-1320,Customer 353,Corporate,India,Pune,Delhi,North,PROD-654,Technology,Storage,Product 177,11337.77,16,914.62,Yes,Net Banking,,
20022,IN-2026-000022,22-01-2025,24-01-2025,Second Class,CUST-694,Customer 918,Home Office,India,Delhi,West Bengal,North,PROD-348,Technology,Phones,Product 230,1073.52,9,2771.49,nan,UPI,,
20023,IN-2026-000023,23-01-2025,25-01-2025,Standard Class,CUST-1024,Customer 798,Corporate,India,Chennai,Maharashtra,South,PROD-170,Office Supplies,Binders,Product 123,8941.91,19,2396.6,nan,Net Banking,,
20024,IN-2026-000024,24-01-2025,26-01-2025,Same Day,CUST-630,Customer 116,Consumer,India,Delhi,Karnataka,West,PROD-336,Office Supplies,Chairs,Product 324,24537.61,4,-1813.46,nan,Cards,,
20025,IN-2026-000025,25-01-2025,27-01-2025,Same Day,CUST-1308,Customer 307,Consumer,India,Delhi,Maharashtra,Central,PROD-472,Technology,Storage,Product 698,18590.38,4,5929.17,nan,Online,,
20026,IN-2026-000026,26-01-2025,28-01-2025,First Class,CUST-180,Customer 1451,Home Office,India,Delhi,Delhi,South,PROD-504,Office Supplies,Tables,Product 623,13237.54,6,7041.39,Yes,UPI,,
